rio,estacion,municipio,estado,fecha,caudal_m3s
Amaime,Amaime,El Cerrito,Activa,2015-08-27,0.99
Amaime,Amaime,El Cerrito,Activa,2015-08-28,0.79
Amaime,Amaime,El Cerrito,Activa,2015-08-29,0.49
Amaime,Amaime,El Cerrito,Activa,2015-08-30,0.34
Amaime,Amaime,El Cerrito,Activa,2015-09-01,1.78
Amaime,Amaime,El Cerrito,Activa,2015-09-02,1.62
Amaime,Amaime,El Cerrito,Activa,2015-09-03,2.31
Amaime,Amaime,El Cerrito,Activa,2015-09-04,1.62
Amaime,Amaime,El Cerrito,Activa,2015-09-05,1.08
Amaime,Amaime,El Cerrito,Activa,2015-09-06,0.72
Amaime,Amaime,El Cerrito,Activa,2015-09-07,0.82
Amaime,Amaime,El Cerrito,Activa,2015-09-08,0.88
Amaime,Amaime,El Cerrito,Activa,2015-09-09,0.72
Amaime,Amaime,El Cerrito,Activa,2015-09-10,0.98
Amaime,Amaime,El Cerrito,Activa,2015-09-11,0.57
Amaime,Amaime,El Cerrito,Activa,2015-09-12,0.42
Amaime,Amaime,El Cerrito,Activa,2015-09-13,0.42
Amaime,Amaime,El Cerrito,Activa,2015-09-14,0.49
Amaime,Amaime,El Cerrito,Activa,2015-09-15,0.98
Amaime,Amaime,El Cerrito,Activa,2015-09-16,0.57
Amaime,Amaime,El Cerrito,Activa,2015-09-17,0.45
Amaime,Amaime,El Cerrito,Activa,2015-09-18,0.72
Amaime,Amaime,El Cerrito,Activa,2015-09-19,0.6
Amaime,Amaime,El Cerrito,Activa,2015-09-20,0.6
Amaime,Amaime,El Cerrito,Activa,2015-09-21,0.6
Amaime,Amaime,El Cerrito,Activa,2015-09-22,0.34
Amaime,Amaime,El Cerrito,Activa,2015-09-23,1.35
Amaime,Amaime,El Cerrito,Activa,2015-09-24,1.08
Amaime,Amaime,El Cerrito,Activa,2015-09-25,0.79
Amaime,Amaime,El Cerrito,Activa,2015-09-26,0.49
Amaime,Amaime,El Cerrito,Activa,2015-09-27,0.79
Amaime,Amaime,El Cerrito,Activa,2015-09-28,0.6
Amaime,Amaime,El Cerrito,Activa,2015-09-29,0.64
Amaime,Amaime,El Cerrito,Activa,2015-09-30,0.42
Amaime,Amaime,El Cerrito,Activa,2015-10-01,0.34
Amaime,Amaime,El Cerrito,Activa,2015-10-02,0.64
Amaime,Amaime,El Cerrito,Activa,2015-10-03,0.42
Amaime,Amaime,El Cerrito,Activa,2015-10-04,0.49
Amaime,Amaime,El Cerrito,Activa,2015-10-05,1.08
Amaime,Amaime,El Cerrito,Activa,2015-10-06,0.79
Amaime,Amaime,El Cerrito,Activa,2015-10-07,0.57
Amaime,Amaime,El Cerrito,Activa,2015-10-08,0.26
Amaime,Amaime,El Cerrito,Activa,2015-10-09,0.15
Amaime,Amaime,El Cerrito,Activa,2015-10-10,0.42
Amaime,Amaime,El Cerrito,Activa,2015-10-11,0.34
Amaime,Amaime,El Cerrito,Activa,2015-10-12,0.26
Amaime,Amaime,El Cerrito,Activa,2015-10-13,0.49
Amaime,Amaime,El Cerrito,Activa,2015-10-14,0.26
Amaime,Amaime,El Cerrito,Activa,2015-10-15,0.18
Amaime,Amaime,El Cerrito,Activa,2015-10-16,0.49
Amaime,Amaime,El Cerrito,Activa,2015-10-17,0.98
Amaime,Amaime,El Cerrito,Activa,2015-10-18,0.49
Amaime,Amaime,El Cerrito,Activa,2015-10-19,0.3
Amaime,Amaime,El Cerrito,Activa,2015-10-20,0.49
Amaime,Amaime,El Cerrito,Activa,2015-10-21,0.19
Amaime,Amaime,El Cerrito,Activa,2015-10-22,0.09
Amaime,Amaime,El Cerrito,Activa,2015-10-23,0.1
Amaime,Amaime,El Cerrito,Activa,2015-10-24,0.09
Amaime,Amaime,El Cerrito,Activa,2015-10-25,0.1
Amaime,Amaime,El Cerrito,Activa,2015-10-26,0.08
Amaime,Amaime,El Cerrito,Activa,2015-10-27,0.1
Amaime,Amaime,El Cerrito,Activa,2015-10-28,0.57
Amaime,Amaime,El Cerrito,Activa,2015-10-29,0.38
Amaime,Amaime,El Cerrito,Activa,2015-10-30,0.38
Amaime,Amaime,El Cerrito,Activa,2015-11-01,2.6
Amaime,Amaime,El Cerrito,Activa,2015-11-02,13.1
Amaime,Amaime,El Cerrito,Activa,2015-11-03,1.83
Amaime,Amaime,El Cerrito,Activa,2015-11-04,0.45
Amaime,Amaime,El Cerrito,Activa,2015-11-05,0.98
Amaime,Amaime,El Cerrito,Activa,2015-11-06,0.49
Amaime,Amaime,El Cerrito,Activa,2015-11-07,0.19
Amaime,Amaime,El Cerrito,Activa,2015-11-08,0.45
Amaime,Amaime,El Cerrito,Activa,2015-11-09,0.3
Amaime,Amaime,El Cerrito,Activa,2015-11-10,1.24
Amaime,Amaime,El Cerrito,Activa,2015-11-11,0.79
Amaime,Amaime,El Cerrito,Activa,2015-11-12,0.88
Amaime,Amaime,El Cerrito,Activa,2015-11-13,0.76
Amaime,Amaime,El Cerrito,Activa,2015-11-14,0.42
Amaime,Amaime,El Cerrito,Activa,2015-11-15,0.64
Amaime,Amaime,El Cerrito,Activa,2015-11-16,0.98
Amaime,Amaime,El Cerrito,Activa,2015-11-17,0.57
Amaime,Amaime,El Cerrito,Activa,2015-11-18,0.34
Amaime,Amaime,El Cerrito,Activa,2015-11-19,1.03
Amaime,Amaime,El Cerrito,Activa,2015-11-20,2.31
Amaime,Amaime,El Cerrito,Activa,2015-11-21,0.99
Amaime,Amaime,El Cerrito,Activa,2015-11-22,1.62
Amaime,Amaime,El Cerrito,Activa,2015-11-23,1.08
Amaime,Amaime,El Cerrito,Activa,2015-11-24,0.34
Amaime,Amaime,El Cerrito,Activa,2015-11-25,0.15
Amaime,Amaime,El Cerrito,Activa,2015-11-26,0.42
Amaime,Amaime,El Cerrito,Activa,2015-11-27,0.72
Amaime,Amaime,El Cerrito,Activa,2015-11-28,0.49
Amaime,Amaime,El Cerrito,Activa,2015-11-29,0.42
Amaime,Amaime,El Cerrito,Activa,2015-11-30,0.22
Amaime,Amaime,El Cerrito,Activa,2015-12-01,0.57
Amaime,Amaime,El Cerrito,Activa,2015-12-02,0.26
Amaime,Amaime,El Cerrito,Activa,2015-12-03,1.24
Amaime,Amaime,El Cerrito,Activa,2015-12-04,0.79
Amaime,Amaime,El Cerrito,Activa,2015-12-05,0.57
Amaime,Amaime,El Cerrito,Activa,2015-12-06,0.98
Amaime,Amaime,El Cerrito,Activa,2015-12-07,0.81
Amaime,Amaime,El Cerrito,Activa,2015-12-08,5.33
Amaime,Amaime,El Cerrito,Activa,2015-12-09,6.23
Amaime,Amaime,El Cerrito,Activa,2015-12-10,2.53
Amaime,Amaime,El Cerrito,Activa,2015-12-11,2.75
Amaime,Amaime,El Cerrito,Activa,2015-12-12,0.92
Amaime,Amaime,El Cerrito,Activa,2015-12-13,0.38
Amaime,Amaime,El Cerrito,Activa,2015-12-14,0.1
Amaime,Amaime,El Cerrito,Activa,2015-12-15,0.49
Amaime,Amaime,El Cerrito,Activa,2015-12-16,0.19
Amaime,Amaime,El Cerrito,Activa,2015-12-17,0.09
Amaime,Amaime,El Cerrito,Activa,2015-12-18,0.26
Amaime,Amaime,El Cerrito,Activa,2015-12-19,0.38
Amaime,Amaime,El Cerrito,Activa,2015-12-20,0.26
Amaime,Amaime,El Cerrito,Activa,2015-12-21,0.19
Amaime,Amaime,El Cerrito,Activa,2015-12-22,0.38
Amaime,Amaime,El Cerrito,Activa,2015-12-23,0.79
Amaime,Amaime,El Cerrito,Activa,2015-12-24,0.2
Amaime,Amaime,El Cerrito,Activa,2015-12-25,0.49
Amaime,Amaime,El Cerrito,Activa,2015-12-26,0.38
Amaime,Amaime,El Cerrito,Activa,2015-12-27,0.49
Amaime,Amaime,El Cerrito,Activa,2015-12-28,0.72
Amaime,Amaime,El Cerrito,Activa,2016-01-01,0.6
Amaime,Amaime,El Cerrito,Activa,2016-01-02,0.34
Amaime,Amaime,El Cerrito,Activa,2016-01-03,0.38
Amaime,Amaime,El Cerrito,Activa,2016-01-04,0.15
Amaime,Amaime,El Cerrito,Activa,2016-01-05,0.1
Amaime,Amaime,El Cerrito,Activa,2016-01-06,0.34
Amaime,Amaime,El Cerrito,Activa,2016-01-07,0.53
Amaime,Amaime,El Cerrito,Activa,2016-01-08,0.76
Amaime,Amaime,El Cerrito,Activa,2016-01-09,0.6
Amaime,Amaime,El Cerrito,Activa,2016-01-10,0.42
Amaime,Amaime,El Cerrito,Activa,2016-01-11,0.3
Amaime,Amaime,El Cerrito,Activa,2016-01-12,0.18
Amaime,Amaime,El Cerrito,Activa,2016-01-13,0.3
Amaime,Amaime,El Cerrito,Activa,2016-01-14,0.45
Amaime,Amaime,El Cerrito,Activa,2016-01-15,0.98
Amaime,Amaime,El Cerrito,Activa,2016-01-16,0.49
Amaime,Amaime,El Cerrito,Activa,2016-01-17,0.19
Amaime,Amaime,El Cerrito,Activa,2016-01-18,0.45
Amaime,Amaime,El Cerrito,Activa,2016-01-19,0.3
Amaime,Amaime,El Cerrito,Activa,2016-01-20,0.82
Amaime,Amaime,El Cerrito,Activa,2016-01-21,0.3
Amaime,Amaime,El Cerrito,Activa,2016-01-22,0.15
Amaime,Amaime,El Cerrito,Activa,2016-01-23,0.19
Amaime,Amaime,El Cerrito,Activa,2016-01-24,0.09
Amaime,Amaime,El Cerrito,Activa,2016-01-25,0.15
Amaime,Amaime,El Cerrito,Activa,2016-01-26,0.1
Amaime,Amaime,El Cerrito,Activa,2016-01-27,0.09
Amaime,Amaime,El Cerrito,Activa,2016-01-28,0.1
Amaime,Amaime,El Cerrito,Activa,2016-01-29,0.09
Amaime,Amaime,El Cerrito,Activa,2016-01-30,0.19
Amaime,Amaime,El Cerrito,Activa,2016-01-31,0.1
Amaime,Amaime,El Cerrito,Activa,2016-02-01,0.08
Amaime,Amaime,El Cerrito,Activa,2016-02-02,0.09
Amaime,Amaime,El Cerrito,Activa,2016-02-03,0.1
Amaime,Amaime,El Cerrito,Activa,2016-02-04,0.49
Amaime,Amaime,El Cerrito,Activa,2016-02-05,0.19
Amaime,Amaime,El Cerrito,Activa,2016-02-06,0.09
