rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,cobertura_pct,grupo,nombre_grupo,area_ha,pct
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,TE,Tierras eriales,2.53,0.13
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,ZU,Zona urbana,27.27,1.37
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,INF,Infraestructura,17.88,0.90
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,CANA,Caña de azúcar,1884.46,77.68
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,CP,Cultivos permanentes,10.82,0.45
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,CSP,Cultivos semipermanentes,7.38,0.30
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,CT,Cultivos transitorios,31.41,1.29
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,PN,Pastos,97.61,4.02
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,9.34,0.39
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,BN,Bosque natural,28.18,1.16
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,RA,Rastrojo y vegetación secundaria,31.95,1.32
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,AGUA,Aguas continentales,179.50,7.40
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,TE,Tierras eriales,1.06,0.04
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,ZU,Zona urbana,47.27,1.95
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,30.024,48.006,2425.83,100.0,INF,Infraestructura,96.85,3.99
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,CANA,Caña de azúcar,80.47,5.30
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,CP,Cultivos permanentes,86.18,5.68
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,CT,Cultivos transitorios,0.21,0.01
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,PN,Pastos,660.66,43.51
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,49.82,3.28
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,CSD,Cultivos cosechados o suelo desnudo,85.51,5.63
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,BN,Bosque natural,200.26,13.19
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,RA,Rastrojo y vegetación secundaria,139.83,9.21
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,HN,Herbazales y vegetación natural herbácea,1.21,0.08
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,HU,Humedales y superficies pantanosas,2.71,0.18
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,AGUA,Aguas continentales,95.58,6.30
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,TE,Tierras eriales,96.30,6.34
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,ZU,Zona urbana,2.47,0.16
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,0.000,81.610,1518.28,100.0,INF,Infraestructura,17.06,1.12
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,CANA,Caña de azúcar,33.39,7.84
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,CP,Cultivos permanentes,6.12,1.44
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,CT,Cultivos transitorios,7.97,1.87
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,PN,Pastos,215.01,50.48
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,1.26,0.29
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,CSD,Cultivos cosechados o suelo desnudo,4.56,1.07
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,BN,Bosque natural,44.18,10.37
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,RA,Rastrojo y vegetación secundaria,42.41,9.96
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,AGUA,Aguas continentales,18.74,4.40
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,TE,Tierras eriales,2.28,0.54
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,ZU,Zona urbana,33.05,7.76
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,81.610,85.131,425.89,100.0,INF,Infraestructura,16.93,3.97
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,CANA,Caña de azúcar,1168.72,58.78
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,CP,Cultivos permanentes,30.66,1.54
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,CT,Cultivos transitorios,58.95,2.97
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,PN,Pastos,271.43,13.65
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,11.71,0.59
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,CSD,Cultivos cosechados o suelo desnudo,26.79,1.35
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,BN,Bosque natural,49.74,2.50
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,RA,Rastrojo y vegetación secundaria,56.26,2.83
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,AGUA,Aguas continentales,85.12,4.28
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,TE,Tierras eriales,1.06,0.05
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,ZU,Zona urbana,183.98,9.25
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,85.131,99.429,1988.23,100.0,INF,Infraestructura,43.81,2.20
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,CANA,Caña de azúcar,450.63,69.99
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,CP,Cultivos permanentes,32.87,5.11
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,CSP,Cultivos semipermanentes,24.00,3.73
