rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,area_referencia_ha,cobertura_pct,cod_cob25,clase,area_ha,pct,fuente_cana,cana_ha_uso_suelo,factor_reescalado
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,23171,Pasto cultivado arbolado,0.24,0.10,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,23172,Pasto cultivado enmalezado,0.99,0.39,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,24130,Misceláneo de pastos y cultivos,1.17,0.46,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,25210,Áreas de cultivo con suelo desnudo,7.90,3.12,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,31112,Bosque mixto denso bajo de tierra firme,1.79,0.71,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,31211,Bosque mixto abierto alto de tierra firme,0.41,0.16,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,31212,Bosque mixto abierto bajo de tierra firme,4.76,1.88,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,31311,Bosque mixto fragmentado con pastos y cultivos,7.78,3.08,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,31331,Bosque mixto fragmentado con vegetación natural,1.65,0.65,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,31351,Bosque mixto relictual,0.35,0.14,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,31352,Bosque de guadua,1.94,0.77,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,32110,Arbustal y matorral denso alto de tierra firme,0.64,0.25,Uso_del_suelo_ZP,83.70,1.001247
