Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
48;RIO RISARALDA, LAS PALMERAS;79;0.77;0.74;12724;22.2;25;154.4;7.78;7.74;6.5;8.22;20;111;6.6;65.3;57.3;< 20;< 1;-;-;0.87;< 0.01;< 0.09;-;2.9;8.1;-;-;98040;1990;2018-02-07;08:15:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;76;0.74;0.74;12259;21.3;24.1;125.4;8.1;8.07;15.3;7.83;30;112;30;54.2;53.9;< 20;< 1;-;-;0.8;< 0.01;0.175;-;5.2;9;1.4;< 0.025;61310;5380;2018-08-22;08:25:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;77;0.75;0.75;-;20.7;23;113;7.74;7.81;18.9;7.68;30;128;48.8;48;47.2;< 20;1.5;-;-;0.86;< 0.01;< 0.09;-;2.6;13.1;1.6;< 0.025;64880;3320;2018-11-21;08:50:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;74;0.76;0.76;-;21.1;25.2;109.5;7.76;7.73;13.7;7.6;20;148;40.2;42.2;44.4;< 20;2.1;-;-;1.18;0.0155;< 0.09;-;3.5;11.6;-;-;57940;4730;2019-06-05;08:30:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;77;0.78;0.75;7430;22.3;24;152;8;7.38;21.4;8.06;30;170;51;61.8;63.9;< 20;< 2;-;-;0.921;0.0147;0.187;-;3.6;13.5;-;-;34480;1480;2019-09-04;08:10:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;26817;20.2;21.1;111.9;7.46;7.02;34.6;7.59;50;-;-;41.2;45.3;< 20;< 2;-;-;1.14;0.0123;< 0.09;-;3.5;< 7;-;-;57940;2560;2019-11-13;08:50:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;79;0.77;0.75;8483;22.2;23.5;145;7.76;7.43;6.4;7.78;30;139;17.6;63;59.6;< 20;< 2;-;-;0.415;0.0115;0.128;-;2.6;< 5;-;-;38730;1970;2020-03-04;08:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;70;0.72;0.72;-;20.5;21.4;99.3;7.14;7.18;22.7;7.32;70;206;62.5;34.8;39.8;24.2;< 2.86;-;-;1;0.0155;2.42;-;3.18;< 5;5.16;< 0.025;435200;14600;2020-09-02;08:20:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;75;0.79;0.78;17470;20.5;25.1;97.4;7.78;7.32;4.27;7.98;20;99;13;44.4;45.1;< 20;< 2;-;-;0.298;< 0.0091;< 0.09;-;1.47;< 5;-;-;36090;1970;2020-11-04;08:30:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;77;0.77;0.74;25167;19.4;22.5;149.7;7.96;8.15;3.5;7.73;10;99;10.8;51.4;47.5;< 20;< 2;-;-;0.559;0.0145;0.111;-;< 5;< 5;-;-;155310;3410;2021-07-07;08:00:00;977.7670528
