"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"2009 Aug 19 12:00:00 AM","PASO DE LA TORRE","7.37","24.9","38.5","62","175","58","117","4.06","20","0.601","54","32","22","12.8","5.3","36.7","44.7","156","3.39",,"0.168",,"9.95",,"2.26",,"<0,02",,"0.173",,,,,,"2.75","2","0.0199","2.903","9.42","<0,0509","0.1","20.1","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"2.10E+05","1.50E+05",
"2009 Aug 19 12:00:00 AM","VIJES","7.34","25","29.9","25","198","33.2","165","3.43","16.1","0.823","66","36","30","14.4","7.2","39.9","48.7","163","1.64",,"0.121",,"10.6",,"2.17",,"<0,02",,"0.165",,,,,,"2.82","2.07","0.0248","2.421","9.56","0.167","0.129","22.5","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"9.10E+04","9.10E+04",
"2009 Aug 19 12:00:00 AM","YOTOCO","7.44","25.5","50.2","58","185","45","140","4","19","1.23","68","36","32","14.4","7.7","45.9","56","158","2.57",,"0.165",,"9.65",,"2.29",,"<0,02",,"0.172",,,,,,"3.23","2.24","0.0219","2.867","8.99","0.168","0.154","20.2","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"4.30E+06","1.50E+05",
"2009 Aug 19 12:00:00 AM","MEDIACANOA","7.4","25.4","57.3","52","165","42","123","2.47","14","1.41","58","34","24","13.6","5.8","39.3","47.9","145","2.22",,"0.15",,"8.96",,"2.99",,"<0,02",,"0.166",,,,,,"2.81","1.76","0.0213","3.227","7.82","0.092","0.0881","19.6","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"3.90E+06","2.30E+06",
"2009 Aug 19 12:00:00 AM","RIOFRIO","7.74","26.3","47.3","44","188","62","126","2.4","13","2.42","64","36","28","14.4","6.7","41.2","50.2","161","3.6",,"0.145",,"8.8",,"2.24",,"<0,02",,"0.16",,,,,,"2.52","1.69","0.0355","4.015","7.31","0.163","<0,0640","20","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"2.00E+04","2.00E+04",
"2009 Aug 19 12:00:00 AM","PUENTE GUAYABAL","7.62","26.6","46.5","49","205","83","122","3.36","16.9","2.33","72","36","36","14.4","8.6","46.7","57","171","3.7",,"0.161",,"8.5",,"2.33",,"<0,02",,"0.193",,,,,,"2.56","1.45","0.0419","4.554","7.51","0.1","<0,0640","27","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"6.60E+04","2.40E+04",
"2009 Aug 19 12:00:00 AM","LA VICTORIA","7.48","26.3","49.5","56","226","102","124","2.03","<5,33","2.4","72","42","30","16.8","7.2","46.5","56.8","168","4.25",,"0.19",,"9.57",,"2.14",,"<0,02",,"0.167",,,,,,"2.38","1.48","0.0472","4.185","6.9","0.119","0.0664","26.7","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"1.10E+05","2.40E+04",
"2009 Aug 19 12:00:00 AM","ANACARO","7.69","25.7","42","46","219","84","135","2.23","16.1","2.87","76","44","32","17.6","7.7","48.3","59","171","3.68",,"0.117",,"8.63",,"2.45",,"<0,02",,"0.162",,,,,,"2.19","1.33","0.0715","5.333","6.05","0.138","0.0725","13.8","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"1.50E+04","7.50E+03",
"2009 Aug 19 12:00:00 AM","PUENTE LA VIRGINIA","7.6","25.6","35.3","40","213","65","148","2.23","14.3","3.38","78","50","28","20","6.7","55.7","68","173","2.56",,"0.074",,"8.29",,"2.31",,"<0,02",,"0.162",,,,,,"<2,08","1.2","0.0655","5.179","8.06","<0,0509","<0,0640","14.2","<0,04",,"<0,30",,"<0,09",,"<0,318",,,"1.10E+05","2.10E+04",
"2009 Oct 28 12:00:00 AM","ANTES SUAREZ","7.01","23","41.9","21","108","10","98","<1,94","6","1.34","56","24","32","9.6","7.7","22.5","27.4","133","1.79",,"0.426",,"7.46",,"1.87",,"<0,02",,"0.162",,,,,,"2.32","1.7","<0,00176","<0,114","4.82","<0,0509","<0,0640","31","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+03","9.30E+02",
"2009 Oct 28 12:00:00 AM","ANTES RIO OVEJAS","6.94","23.8","45.7","30","106","6.5","99.5","<1,94","11.1","2.26","48","24","24","9.6","5.8","21.7","26.5","129","1.75",,"0.399",,"7.24",,"1.88",,"<0,02",,"0.156",,,,,,"2.34","1.83","<0,00176","<0,114","10.4","<0,0509","<0,0640","27.4","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"1.50E+04","1.50E+04",
"2009 Oct 28 12:00:00 AM","ANTES RIO TIMBA","7.06","23.9","35.9","55","105","18.5","86.5","<1,94","9.31","5.03","50","20","30","8","7.2","22.7","27.7","124","2.21",,"0.366",,"6.93",,"1.71",,"<0,02",,"0.197",,,,,,"2.26","1.72","0.0029","<0,114","10.3","<0,0509","<0,0640","25.8","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+04","4.30E+03",
"2009 Oct 28 12:00:00 AM","PASO DE LA BALSA","7.29","23.6","37.3","42","111","28.5","82.5","<1,94","8.66","6.29","48","22","26","8.8","6.2","25.2","30.7","103","2.23",,"0.193",,"6.12",,"1.66",,"<0,02",,"0.17",,,,,,"2.31","1.95","0.00506","<0,114","9.62","<0,0509","<0,0640","20.7","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+04","9.30E+03",
"2009 Oct 28 12:00:00 AM","PASO DE LA BOLSA","7.37","23.4","50.2","62","116","30.5","85.5","<1,94","10.1","6.14","48","20","20","8","6.7","23.7","28.9","107","2.5",,"0.263",,"6.62",,"1.81",,"<0,02",,"0.272",,,,,,"2.17","1.92","0.0259","0.148","7.49","<0,0509","<0,0640","23.6","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+04","2.40E+04",
"2009 Oct 28 12:00:00 AM","PUENTE HORMIGUERO","7.7","24.4","88.2","95","233","109","124","2.84","23","5.54","48","28","20","11.2","4.8","31.1","38","139","4.19",,"0.12",,"5.03",,"1.68",,"<0,02",,"0.038",,,,,,"2.62","1.48","0.0306","0.887","8.15","0.0956","<0,0640","27.4","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+05","6.60E+04",
"2009 Oct 28 12:00:00 AM","ANTES INTERCEPTOR SUR","7.58","24.8","62.1","60","186","80.5","106","<1,94","10.1","5.03","64","30","34","12","8.2","34.8","42.5","133","2.96",,"<0,106",,"6.66",,"1.96",,"<0,02",,"0.031",,,,,,"<2,08","1.41","0.0222","0.795","8.29","<0,0509","<0,0640","24.8","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"6.60E+05","1.50E+05",
"2009 Oct 28 12:00:00 AM","JUANCHITO","7.58","24.9","46.3","44","185","80","105","2.5","7.9","3.55","54","30","24","12","5.8","39.3","47.9","140","2.89",,"<0,106",,"7.76",,"2.42",,"<0,02",,"<0,03",,,,,,"2.46","1.79","0.0217","0.213","8.6","0.173","<0,0640","23.1","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"9.30E+05","4.30E+05","125.1"
"2009 Oct 28 12:00:00 AM","PASO DEL COMERCIO","7.25","25.6","39","37","170","54","116","5.77","15.1","2.52","66","32","34","12.8","8.2","41.1","50.1","166","1.98",,"<0,106",,"8.45",,"2.12",,"<0,02",,"0.155",,,,,,"2.6","2.56","0.0124","0.162","9.92","0.117","0.0707","24.3","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"1.50E+07","9.10E+06",
"2009 Oct 28 12:00:00 AM","PUERTO ISAACS","7.32","26.3","51.2","35","175","60","115","3.78","13.9","0.71","62","42","20","16.8","4.8","45.2","55.1","171","2.06",,"<0,106",,"9.7",,"2.23",,"<0,02",,"0.153",,,,,,"3.22","2.08","0.0702","0.177","11.3","0.236","0.11","24.9","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"6.60E+06","2.40E+06",
"2009 Oct 28 12:00:00 AM","PASO DE LA TORRE","7.35","26.6","52.5","46","209","50","159","5.44","16.4","<0,5","76","46","30","18.4","7.2","60.1","73.4","204","2.47",,"0.125",,"12.5",,"2.92",,"<0,02",,"0.159",,,,,,"3.86","2.41","0.0228","<0,114","13.3","0.233","0.116","28.5","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+06","9.30E+05",
"2009 Oct 28 12:00:00 AM","VIJES","7.35","27","37.6","16","174","39.5","135","6.37","15.1","<0,5","64","42","22","16.8","5.3","64","78.1","218","2.26",,"0.24",,"12.9",,"3.02",,"<0,02",,"0.163",,,,,,"4.31","2.75","0.0068","<0,114","13.2","0.205","0.162","27.5","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"1.50E+06","9.10E+05",
"2009 Oct 28 12:00:00 AM","YOTOCO","7.37","27","26.9","19","163","27","136","4.5","13.1","0.93","76","48","28","19.2","6.7","62.2","76","201","1.73",,"0.143",,"8.96",,"2.77",,"<0,02",,"0.165",,,,,,"3.67","2.46","0.0396","<0,114","13.1","0.289","0.158","26.8","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+06","6.60E+05",
"2009 Oct 28 12:00:00 AM","MEDIACANOA","7.32","26.9","31.4","23","179","27","152","4.33","13.1","0.81","84","48","36","19.2","8.6","79","96.3","227","2.18",,"0.194",,"13.3",,"3.23",,"<0,02",,"0.154",,,,,,"3.64","1.67","0.0058","<0,114","14.3","0.191","0.128","25.4","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"4.30E+06","1.50E+06",
"2009 Oct 28 12:00:00 AM","RIOFRIO","7.33","26.9","21.7","28","174","30","144","4.1","14.5","1.58","80","48","32","19.2","7.7","65.9","80.4","188","1.32",,"<0,106",,"10.6",,"2.86",,"<0,02",,"0.232",,,,,,"3.12","2.55","0.0318","0.275","11.7","0.114","0.08","23.1","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"1.10E+05","6.60E+04",
"2009 Oct 28 12:00:00 AM","PUENTE GUAYABAL","7.5","25.8","29.5","33","207","43","164","4.72","19.2","1.6","100","48","52","19.2","12.5","74.1","90.5","217","2.12",,"0.114",,"11",,"3.13",,"<0,02",,"0.248",,,,,,"2.87","2.26","0.0466","0.593","11.8","0.153","0.087","21.9","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"6.60E+05","9.30E+04",
"2009 Oct 28 12:00:00 AM","LA VICTORIA","7.44","26","33.6","63","228","68.8","159","<1,94","12.6","2.86","92","46","46","18.4","11","65","79.4","192","4.12",,"0.125",,"10.5",,"2.84",,"<0,02",,"0.261",,,,,,"2.44","2.05","0.0495","0.574","10","0.125","0.0682","22","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.30E+05","9.10E+04",
"2009 Oct 28 12:00:00 AM","ANACARO","7.44","25.6","39.4","58","256","87","169","2.36","13.1","2.8","92","52","40","20.8","9.6","61.1","74.6","190","2.94",,"<0,106",,"10.3",,"2.86",,"<0,02",,"0.251",,,,,,"<2,08","1.59","0.0674","1.809","10.2","0.141","<0,0640","22.2","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"2.40E+05","4.30E+04",
"2009 Oct 28 12:00:00 AM","PUENTE LA VIRGINIA","7.39","24","51.5","74","240","69.4","171","3.85","22.9","3.07","82","52","30","20.8","7.2","63.7","77.7","158","3.02",,"<0,106",,"8.64",,"2.79",,"<0,02",,"0.273",,,,,,"2.33","2.23","0.0462","1.294","7.78","0.108","<0,0640","14.6","<0,04",,"<0,300",,"<0,09",,"<0,318",,,"1.50E+05","9.30E+04",
"2010 Feb 17 12:00:00 AM","ANTES SUAREZ",,"6.45","22","29","21","327","13.5","314","<1,94","9.14","2.02","46","22","24","8.82","5.83","23.3","28.4","104",,,,,,,,,,,,,,,,,"2.41","1.11","0.00948","<0,114","7.91","<0,0509","<0,0640","17.7",,,,,,,,,,"4.30E+03","9.10E+02"
"2010 Feb 17 12:00:00 AM","ANTES RIO OVEJAS",,"6.48","22.2","28.6","57","124","11.3","113","<1,94","7.24","1.75","42","20","22","8.02","5.35","22.9","27.9","104",,,,,,,,,,,,,,,,,"<2,08","<1,06","0.00926","<0,114","8.04","<0,0509","<0,0640","17.8",,,,,,,,,,"4.30E+03","1.50E+03"
"2010 Feb 17 12:00:00 AM","ANTES RIO TIMBA",,"6.73","22.1","35.3","61","143","48.4","94.6","<1,94","8.19","5.45","40","24","16","9.62","3.89","24.2","29.5","94.7",,,,,,,,,,,,,,,,,"<2,08","<1,06","0.0144","0.167","6.89","0.0522","<0,0640","14.5",,,,,,,,,,"1.50E+04","2.10E+03"
"2010 Feb 17 12:00:00 AM","PASO DE LA BALSA",,"6.95","21.9","42.8","72","110","61.3","48.7","<1,94","8.15","5.82","46","28","18","11.2","4.38","26.1","31.9","94.5",,,,,,,,,,,,,,,,,"<2,08","<1,06","0.0135","0.168","6.41","<0,0509","<0,0640","14.3",,,,,,,,,,"1.50E+05","4.30E+04"
"2010 Feb 17 12:00:00 AM","PASO DE LA BOLSA",,"6.9","22.4","51.5","78","203","100","103","2.32","12","6.04","42","22","20","8.82","4.86","24.5","29.8","95.7",,,,,,,,,,,,,,,,,"<2,08","<1,06","0.0263","0.17","6.91","<0,0509","<0,0640","14.7",,,,,,,,,,"6.60E+05","4.30E+04"
"2010 Feb 17 12:00:00 AM","PUENTE HORMIGUERO",,"6.82","22.8","156","344","721","440","281","4.51","<5,33","5.35","44","28","16","11.2","3.89","32","39","114",,,,,,,,,,,,,,,,,"<2,08","<1,06","0.0357","0.956","7.02","0.196","0.125","20.7",,,,,,,,,,"6.60E+06","9.30E+05"
"2010 Feb 17 12:00:00 AM","ANTES INTERCEPTOR SUR",,"6.7","23","58.1","64","160","49.2","111","3.09","18.3","5.16","48","28","20","11.2","4.86","33.8","41.2","114",,,,,,,,,,,,,,,,,"<2,08","<1,06","0.0269","0.202","7.32","<0,0509","<0,0640","17.3",,,,,,,,,,"1.10E+07","2.40E+06"
"2010 Feb 17 12:00:00 AM","JUANCHITO",,"6.76","23.4","80.4","115","181","101","80","5.04","51.5","3.78","54","30","24","12","5.83","35.8","43.6",,,"1.76",,"0.103",,"6.29",,"1.71",,"<0,0200",,,,,,,"<2,08","<1,06","0.0413","0.316","7.62","0.213","0.085","16.9",,"<0,0400",,"<0,300",,"<0,0900",,,"<5,00","2.40E+07","1.50E+06"
"2010 Feb 17 12:00:00 AM","PASO DEL COMERCIO",,"6.79","23.7","86","114","358","240","118","12.9","32.6","3.17","52","32","20","12.8","4.86","37.2","45.4","127",,,,,,,,,,,,,,,,,"2.79","1.3","0.048","0.465","7.91","0.333","0.113","18.1",,,,,,,,,,"1.10E+07","2.40E+06"
"2010 Feb 17 12:00:00 AM","PUERTO ISAACS",,"6.68","24","67.5","135","352","258","94","17.2","36.9","0.666","62","36","26","14.4","6.32","39.9","48.7","139",,,,,,,,,,,,,,,,,"2.6","1.3","0.108","0.481","8.3","0.336","<0,0640","21.7",,,,,,,,,,"2.40E+07","4.30E+06"
"2010 Feb 17 12:00:00 AM","PASO DE LA TORRE",,"6.71","24.5","54.1","64","202","89","113","6.88","24.2","0.529","66","42","24","16.8","5.83","48.1","58.7","167",,,,,,,,,,,,,,,,,"3.15","1.48","0.0875","0.228","9.72","0.26","0.095","22.8",,,,,,,,,,"1.10E+07","6.60E+06"
"2010 Feb 17 12:00:00 AM","VIJES",,"6.78","24.1","64.2","82","207","104","103","3.2","23.5","1.11","60","34","26","13.6","6.32","44.6","54.4","153",,,,,,,,,,,,,,,,,"2.97","1.48","0.0378","0.174","9.08","0.172","0.101","21.7",,,,,,,,,,"2.40E+06","2.40E+06"
"2010 Feb 17 12:00:00 AM","YOTOCO",,"6.81","24","136","217","314","220","94","3.25","24.6","1.09","78","38","40","15.2","9.72","53.5","65.2","174",,,,,,,,,,,,,,,,,"3.9","1.86","0.0476","0.596","9.33","0.225","0.157","24.4",,,,,,,,,,"2.40E+06","2.40E+06"
"2010 Feb 17 12:00:00 AM","MEDIACANOA",,"6.86","23.8","175","305","532","440","92","4.01","33.1","1.93","60","36","24","14.4","5.83","52.7","64.3","161",,,,,,,,,,,,,,,,,"2.41","1.3","0.0554","0.598","8.82","0.266","0.129","21.5",,,,,,,,,,"2.40E+06","2.40E+06"
"2010 May 19 12:00:00 AM","ANTES SUAREZ","7.22","22.7","5.8","2","84","3.5","80.5","<1,94","<5,33","3.78","42","26","16","10.4","3.89","15.4","18.7","93.5","<0,477",,"<0,106",,"4.3",,"1.4",,"<0,0200",,"<0,0300",,,,,,"3.24","<1,06","0.0082","2.45","6.86","<0,0509","<0,0640","18.2","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.10E+04","9.10E+02",
"2010 May 19 12:00:00 AM","ANTES RIO OVEJAS","7.27","23.3","5","2","80","2.5","77.5","<1,94","5.75","4.35","42","16","26","6.41","6.32","15.1","18.4","93.2","<0,477",,"<0,106",,"4.37",,"1.47",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.00729","1.76","6.82","<0,0509","<0,0640","18.7","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+04","3.60E+02",
"2010 May 19 12:00:00 AM","ANTES RIO TIMBA","7.32","22.5","12.1","16","88","18","70","<1,94","<5,33","6.64","30","16","14","6.41","3.4","17.7","21.6","73.1","0.909",,"<0,106",,"3.89",,"1.21",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.00931","1.73","5.7","0.0755","<0,0640","19.1","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+03","7.30E+02",
"2010 May 19 12:00:00 AM","PASO DE LA BALSA","7.41","22.8","23.4","34","101","27","74","<1,94","<5,33","7","40","22","18","8.82","4.38","23.8","29","76.9","1.65",,"<0,106",,"3.98",,"1.33",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0117","1.68","4.25","<0,0509","<0,0640","14.5","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"1.50E+04","1.50E+03",
"2010 May 19 12:00:00 AM","PASO DE LA BOLSA","7.35","22.6","30.6","50","136","54.5","81.5","<1,94","<5,33","6.63","44","20","24","8.02","5.83","18.1","22","89.5","2.03",,"<0,106",,"3.88",,"1.34",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0137","1.86","5.98","0.124","<0,0640","18.7","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"6.60E+04","4.30E+03",
"2010 May 19 12:00:00 AM","PUENTE HORMIGUERO","7.65","23.6","95.6","157","209","130","79","2.64","13.4","6.24","40","26","14","10.4","3.4","24.9","30.4","122","6.3",,"0.267",,"6.53",,"1.96",,"<0,0200",,"0.05",,,,,,"<2,08","<1,06","0.0122","2.57","5.68","0.26","0.113","23.3","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.10E+06","2.00E+05",
"2010 May 19 12:00:00 AM","ANTES INTERCEPTOR SUR","7.11","23.7","59.9","85","146","82.5","63.5","<1,94","13.3","5.68","40","22","18","8.82","4.38","26.5","32.4","108","3.23",,"0.159",,"3.85",,"1.53",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0082","2.37","6.62","0.0833","<0,0640","18.3","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+05","9.10E+04",
"2010 May 19 12:00:00 AM","JUANCHITO","7.15","24","43.6","54","211","134","77","2.68","15.3","5.52","44","22","22","8.82","5.35","26.3","32.1","114","4.09",,"0.421",,"6.66",,"2.4",,"<0,0200",,"0.051",,,,,,"<2,08","<1,06","0.0167","2.43","7.19","0.101","<0,0640","18.9","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+06","4.30E+05","191"
"2010 May 19 12:00:00 AM","PASO DEL COMERCIO","7.19","24.4","43.6","88","132","62","70","4.21","12.5","4.27","56","26","30","10.4","7.29","33.3","40.7","131","2.95",,"0.173",,"6.68",,"2.04",,"<0,0200",,"<0,0300",,,,,,"2.9","1.64","0.0159","2.81","8.45","0.228","0.081","18.5","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+07","4.30E+06",
"2010 May 19 12:00:00 AM","PUERTO ISAACS","7.11","25.2","51.6","76","151","67","84","3.11","11.3","1.62","52","24","28","9.62","6.81","30.4","37","126","3.01",,"0.275",,"6.35",,"2.07",,"<0,0200",,"<0,0300",,,,,,"2.58","1.42","0.0169","3.29","8.66","0.213","0.0733","18.8","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+07","3.90E+06",
"2010 May 19 12:00:00 AM","PASO DE LA TORRE","7.11","26.1","58.4","90","136","59","77","3","10.6","0.53","46","30","16","12","3.89","38","46.3","139","3.48",,"0.28",,"8.08",,"2.28",,"<0,0200",,"<0,0300",,,,,,"2.94","1.72","0.0221","2.67","8.49","0.184","0.123","19.7","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"4.30E+05","2.30E+05",
"2010 May 19 12:00:00 AM","VIJES","7.04","26.7","57.2","106","178","96","82","2.66","22.2","0.97","60","30","30","12.02","7.29","37.5","45.8","149","4.03",,"0.25",,"7.93",,"2.26",,"<0,0200",,"<0,0300",,,,,,"3.14","1.31","0.0237","1.68","8.86","0.2","0.0931","22.7","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+06","2.30E+05",
"2010 May 19 12:00:00 AM","YOTOCO","7.14","26.5","49.7","90","235","152","83","<1,94","21.2","1.08","56","28","28","11.2","6.81","39.4","48","152","4.73",,"0.191",,"7.75",,"2.45",,"<0,0200",,"<0,0300",,,,,,"3.17","2.07","0.0282","2.05","8.9","0.215","0.116","23.2","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+06","4.30E+05",
"2010 May 19 12:00:00 AM","MEDIACANOA","7.13","27.1","75.9","102","152","72","80","2.99","20.3","1.54","56","50","6","20","1.46","38.6","47.1","143","3.61",,"0.164",,"8.27",,"2.22",,"<0,0200",,"0.574",,,,,,"3.02","1.64","0.0314","2.23","7.68","0.256","0.125","21.8","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+04","9.30E+04",
"2010 May 19 12:00:00 AM","RIOFRIO","7.47","27.5","35.3","45","185","62","123","2.55","10.2","2.22","60","30","30","12","7.29","42.6","51.9","150","2.97",,"<0,106",,"7.63",,"2.33",,"<0,0200",,"<0,0300",,,,,,"2.7","1.65","0.0619","3.01","7.33","0.209","0.0743","17.7","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+04","1.50E+04",
"2010 May 19 12:00:00 AM","PUENTE GUAYABAL","7.48","27.2","29.1","36","160","42.5","118","3.01","8.54","3.28","62","34","28","13.6","6.81","40.6","49.6","146","2.12",,"<0,106",,"5.8",,"1.98",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0803","2.57","7.58","1.14","0.0714","17.5","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+05","4.30E+04",
"2010 May 19 12:00:00 AM","LA VICTORIA","7.55","27.3","27.1","40","180","49","131","2.44","6.73","3.24","54","30","24","12","5.83","42.9","52.4","159","2.53",,"0.209",,"6.82",,"2.23",,"<0,0200",,"<0,0300",,,,,,"<2,08","1.1","0.0754","3.54","8.68","0.134","<0,0640","20.1","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+04","2.30E+04",
"2010 May 19 12:00:00 AM","ANACARO","7.44","26.7","21.5","23","162","41.5","121","2.09","7.69","4.45","64","32","32","12.8","7.78","40.4","49.3","151","2.76",,"0.719",,"6.93",,"2.12",,"<0,0200",,"<0,0300",,,,,,"<2,08","1.56","0.0713","4.28","8.58","0.113","0.07","18.9","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"6.60E+04","2.30E+03",
"2010 May 19 12:00:00 AM","PUENTE LA VIRGINIA","7.42","26.4","24.7","28","164","29.5","135","2.83","13.5","3.2","72","42","30","16.8","7.29","50.1","61.2","166","1.22",,"<0,106",,"7.02",,"2.34",,"<0,0200",,"<0,0300",,,,,,"<2,08","1.06","0.0584","2.41","9.23","0.159","0.0775","17.4","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"7.50E+05","1.40E+05",
"2010 Jul 28 12:00:00 AM","ANTES SUAREZ","7.22","22.3","40","37","77","17.4","59.6","<1,94","9.42","5.28","50","24","26","9.62","6.32","17.2","20.9","81.1","<0,477",,"0.164",,"4.22",,"1.17",,"<0,0200",,"<0,0300",,,,,,"2.1","1.15","0.0113","0.263","5.31","0.0604","<0,0640","14.4","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+03","1.50E+03",
"2010 Jul 28 12:00:00 AM","ANTES RIO OVEJAS","7.17","22.3","42.6","35","86","16.9","69.1","<1,94","7.97","5.72","52","18","34","7.21","8.27","17.5","21.4","80.5","0.842",,"0.141",,"4.35",,"1.12",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0127","0.267","4.49","<0,0509","<0,0640","14.4","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"4.30E+04","2.30E+04",
"2010 Jul 28 12:00:00 AM","ANTES RIO TIMBA","7.23","22.7","42.8","49","93","28","65","<1,94","7.97","6.96","50","12","38","4.81","9.24","19.3","23.5","73.5","1.43",,"0.158",,"4",,"0.974",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0125","0.264","4.45","<0,0509","<0,0640","12","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.30E+04","2.30E+04",
