"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"1995 May 03 12:00:00 AM","PUERTO ISAACS","7.3","22","150","122","222","138.8","83.2","3.2","20","2.8","39.2","19.6","19.6","7.8","4.7","25.3","30.7","75.4","7.58",,"0.08",,"6.3",,"1.76",,"0.03",,"<0,001",,,,,,"3.01","0","0.009","0.337","4","0.1","0.05","25.97","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.30E+04",
"1995 Jun 02 12:00:00 AM","PASO DE LA TORRE","7.1","*","125","31","160","45","115","13.6","24.8","1.2","81.1","37.4","43.7","15","10.5","39.1","47.7","146.8","1.14",,"0.01",,"6.34",,"1.48",,"<0,002",,"<0,001",,,,,,"3.2","0","0.018","0.111","6","0.29","0.09","22.48","*",,"*",,"*",,"*",,,"*","*",
"1995 Jun 02 12:00:00 AM","VIJES","7.1","*","75","34","222","81","141","12.7","22.7","0.9","66.6","35.4","31.2","14.2","7.5","43.7","53.3","146.8","2.07",,"0.07",,"5.69",,"1.58",,"<0,002",,"<0,001",,,,,,"1.9","0","0.033","0.097","5","0.39","0.12","19.96","*",,"*",,"*",,"*",,,"*","*",
"1995 Jun 02 12:00:00 AM","YOTOCO","6.9","*","75","23","211","74","137","12.9","23.8","0.7","91.7","39.5","52","15.8","12.5","48.3","58.9","156.6","1.79",,"0.05",,"5.8",,"1.48",,"<0,002",,"<0,001",,,,,,"2.8","0","0.017","0.119","6","0.33","0.08","20.34","*",,"*",,"*",,"*",,,"*","*",
"1995 Jun 02 12:00:00 AM","MEDIACANOA","6.9","*","75","35","230","228","3","13.2","19.4","1.5","58.2","39.5","18.7","15.8","4.5","46","56.1","146.8","2.4",,"0.05",,"4.97",,"1.4",,"0.011",,"<0,001",,,,,,"4.3","0","0.021","0.148","5","0.24","0.09","20.73","*",,"*",,"*",,"*",,,"*","*","245"
"1995 Aug 31 12:00:00 AM","RIOFRIO","7.5","24","50","43","211","96.5","114.5","10.5","31.3","2","54.1","41.1","13","16.4","3.1","43.2","52.7","160.3","2.03",,"2.44",,"9.12",,"1.22",,"<0,002",,"0.03",,,,,,"3.81","1.79","0.02","0.344","7","0.28","0.14","27.24","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+04",
"1998 Dec 19 12:00:00 AM","JUANCHITO","7.3","22.9",,"2.3",,"120",,"3.1",,"4.6",,,,,,,,"80",,,,,,,,,,,,,,,,,,,,,"3.02",,,,,,,,,,,,,,,
"1995 Aug 31 12:00:00 AM","PUENTE GUAYABAL","7.5","24","50","40","208","106","102","8.8","42.1","2.4","66.6","43.7","22.9","17.5","5.5","50.4","61.5","169.7","2.46",,"0.43",,"8.65",,"0.99",,"0.01",,"0.02",,,,,,"3.14","0","0.333","0.04","6","0.27","0.028","23.45","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+04","241"
"1995 Aug 31 12:00:00 AM","LA VICTORIA","7.4","24","75","40","225","88.3","136.7","5.5","13","3","66.6","35.4","31.2","14.2","7.5","48","58.6","160.3","2.52",,"0.17",,"8.36",,"0.74",,"<0,002",,"0.02",,,,,,"1.91","0","0.072","0.337","5","0.12","0.067","22.77","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+04","258"
"1995 Aug 31 12:00:00 AM","ANACARO","7.3","24","25","48","183","110.8","72.2","1.9","18.4","2.8","79","39.5","39.5","15.8","9.5","50.4","61.5","169.7","3.11",,"0.37",,"8.84",,"1.22",,"0.02",,"0.03",,,,,,"2.69","0","0.029","0.396","7","0.25","0.03","24.42","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+03","256"
"1995 Aug 31 12:00:00 AM","PUENTE LA VIRGINIA","7.1","24","50","42","163","92.7","70.3","4.2","16.2","3.8","77","37.4","39.6","15","9.5","52.8","64.4","169.7","2.49",,"0.15",,"8.84",,"1.03",,"0.02",,"0.01",,,,,,"2.91","0","0.027","0.417","6","0.24","0.026","22.68","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+04",
