Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.78;0.79;8800;16.5;20.9;83.3;7.91;8.31;2.2;7.34;20;67;3.75;33.3;30.9;< 20;< 2;-;-;< 0.2;< 0.0091;< 0.09;-;< 5;< 5;1.61;< 0.025;195600;28800;2021-07-06;09:47:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;71;0.78;0.8;-;16.6;21.9;59.8;7.92;8.36;3.7;7.66;20;58;12.0;26.2;19.6;20;4.73;-;-;< 0.2;< 0.0091;< 0.09;-;< 5;< 5;10.5;< 0.025;54750;21430;2021-09-07;09:40:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;72;0.74;0.76;-;16.7;22.3;72.0;7.57;8.41;17;7.71;30;121;77.0;25.2;22.6;< 20;< 2;-;-;0.246;0.008;0.133;-;< 5;< 5;5.74;< 0.025;68670;17230;2021-11-30;10:10:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;67;0.57;0.63;-;16.7;24.1;37.5;7.06;8.54;50;7.28;40;378;222.0;15.6;23.4;35;< 2;-;-;0.383;< 0.005;< 0.09;-;< 5;< 5;3.93;< 0.025;43520;7890;2022-04-05;11:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.77;0.79;-;17.7;22.8;69.34;7.39;8.36;3;7.86;5;70.5;14.7;34.4;28.3;< 20;< 2;-;-;0.147;0.0056;< 0.09;-;< 5;< 5;3.06;0.046;46110;17230;2022-07-05;10:10:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.77;0.79;0;17.2;22.3;68.16;7.12;8.25;7;7.64;20;80.1;17.7;25;23.8;< 20;< 2;-;-;0.156;0.0061;< 0.09;-;< 5;< 5;0.32;0.205;46110;15970;2022-10-18;10:15:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;76;0.77;0.8;-;17.4;20.9;54.1;7.58;8.34;2.5;-;10;75;9.3;30.3;29.4;< 20;2.5;-;-;0.116;0.0069;< 0.09;-;< 5;< 5;0.204;< 0.025;129970;27230;2023-04-11;10:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;75;0.78;0.79;-;18.01;20.7;65.8;8.07;7.91;2.3;-;20;69.5;9.72;31.1;28.8;< 20;3.45;-;-;0.157;0.0112;< 0.09;-;< 5;< 5;2.07;0.102;240000;50400;2023-07-04;10:30:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;73;0.78;0.79;-;19.6;25.3;84.72;7.67;7.68;2.6;-;10;78;9.4;38.4;37;< 20;2.42;-;-;0.151;0.0116;< 0.09;-;< 8;< 5;2.47;0.148;259500;78000;2023-09-12;10:15:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.7;0.71;-;19.8;24.0;94.2;8.07;7.65;1.8;-;10;77.5;5.85;43.5;38.5;37;< 2;-;-;< 0.1;0.0103;0.091;-;< 8;< 5;1.96;0.259;410600;125900;2024-03-05;10:15:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.78;0.78;-;18.3;22.7;92.61;7.8;7.97;4.5;-;10;60.5;8.15;30.5;32.7;< 20;< 2;-;-;0.19;< 0.005;< 0.09;-;< 8;< 5;0.449;0.106;64880;30760;2024-07-09;10:20:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;75;0.77;0.77;0;17.5;21.0;88.68;7.67;8.0;20.4;-;30;79;37.8;18.4;20.1;< 20;< 2;-;-;0.212;< 0.005;< 0.09;-;< 8;< 5;1.89;< 0.025;48840;6630;2025-02-18;10:45:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;5910.96;21.5;26.6;75.72;8.16;7.41;-;-;-;-;6.28;-;-;< 20;< 2;-;< 5;-;-;-;0.153;-;-;-;-;-;-;2025-07-19;14:20:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;76;0.78;0.77;-;17.6;20.8;106.62;7.83;8.11;4.25;-;22;73.5;11.7;31;27.5;< 20;< 2;-;< 5;0.141;< 0.005;0.099;0.421;< 8;< 5;0;< 0.025;214300;34100;2025-10-14;09:45:00;1482.760188
