Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
47;QUEBRADA CHAPATA, DESEMBOCADURA;76;0.75;0.72;2608;23.9;27;156.5;8.14;7.78;7.9;8.24;20;119;10.4;65.3;61.4;< 20;< 1;-;;1.3;0.0311;0.251;;2.2;10.3;0.51;< 0.025;30760;4100;2018-02-06;13:15:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.75;0.73;1909;24.0;28.4;145.9;8.08;7.68;6.4;7.95;20;126;15.5;58.9;64.7;< 20;1.3;-;;1.3;0.019;0.227;;3.5;7.3;2.4;< 0.025;30760;1600;2018-08-21;13:35:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;73;0.76;0.74;4288;23.0;26.9;136.0;7.96;7.5;5.8;7.88;20;131;31.2;54;52.7;< 20;1.8;-;;1.3;0.0379;0.255;;3.5;9.9;13.5;< 0.025;111200;42600;2018-11-20;13:30:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;73;0.76;0.75;3982;23.4;28.4;130.8;7.7;7.64;11.2;7.87;20;126;22.4;48.1;51.1;< 20;< 2;-;;1.36;0.042;0.152;;3.4;10.6;0.28;< 0.025;46110;6970;2019-06-04;13:45:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;80;0.89;0.84;1192;24.9;26.4;160.0;8.14;7.29;1.1;8.25;20;114;5.4;63.3;64.7;< 20;< 2;-;;1.07;0.0133;0.181;;4.8;< 7;0.71;< 0.025;13960;310;2019-09-03;13:10:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;72;0.78;0.75;2369;21.8;25.3;140.5;7.89;7.48;11.7;7.85;40;0;0;52.4;55.8;< 20;< 3;-;;1.3;0.0892;0.292;;4.5;9.7;0.35;< 0.025;222400;18500;2019-11-12;13:50:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;79;0.9;0.85;1283;24.7;27.5;154.7;8.02;7.37;1.8;8.11;20;126;8.5;62.5;62.2;< 20;< 2;-;;0.728;0.0117;0.246;;3.8;5.4;1.1;< 0.025;22820;300;2020-03-03;14:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;75;0.77;0.73;2511;22.9;26.4;163.7;7.84;7.55;11.4;7.48;20;184;20.7;55.7;58.9;< 20;< 2;-;;0.676;0.0236;0.116;;3.43;7.04;1.17;< 0.025;86640;2720;2020-09-01;13:10:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.77;0.75;2933;22.1;26.8;131.3;7.62;7.62;6.97;7.97;20;118;22;-;-;< 20;< 2;-;;0.662;0.0286;0.175;;2.45;6.39;1.33;< 0.025;48840;2920;2020-11-03;13:30:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.81;0.78;2604;22.2;27.3;148.0;8.14;7.92;2.9;8.03;20;123;13;57;59;< 20;< 2;-;;0.9;0.0442;0.125;;< 5;5.05;0.98;< 0.025;48840;960;2021-07-06;00:20:00;967.5718641
